fold,epoch,train_loss,mape,rmse,metric
2,2,5771010.382020878,19.950060546398163,2402.2927,Train_Gpu_Memory_Mb
2,3,4149003.8687544176,16.243569552898407,2036.9104,Train_Gpu_Memory_Mb
2,4,3461329.8200594587,13.420811295509338,1860.465,Train_Gpu_Memory_Mb
2,5,3122656.429901534,12.000904232263565,1767.104,Train_Gpu_Memory_Mb
2,6,2899156.3918533544,11.359822750091553,1702.6909,Train_Gpu_Memory_Mb
2,7,2499598.280608999,10.650448501110077,1581.0118,Train_Gpu_Memory_Mb
2,8,2285781.722268986,10.333341360092163,1511.8802,Train_Gpu_Memory_Mb
2,9,2335072.8716367986,10.273845493793488,1528.0945,Train_Gpu_Memory_Mb
2,10,2157074.5329613746,9.68654602766037,1468.6982,Train_Gpu_Memory_Mb
2,11,2028190.1629764817,9.439291059970856,1424.1454,Train_Gpu_Memory_Mb
2,12,2002259.8401663443,9.227585792541504,1415.0123,Train_Gpu_Memory_Mb
2,13,1885862.8574221067,8.952740579843521,1373.2672,Train_Gpu_Memory_Mb
2,14,1966305.8062298372,8.988966047763824,1402.2502,Train_Gpu_Memory_Mb
2,15,1814656.4022963874,8.657362312078476,1347.0919,Train_Gpu_Memory_Mb
2,16,1785944.0589938723,8.735379576683044,1336.3921,Train_Gpu_Memory_Mb
2,17,1801099.0001126816,8.538485318422318,1342.0502,Train_Gpu_Memory_Mb
2,18,1747991.4718724596,8.436089754104614,1322.1162,Train_Gpu_Memory_Mb
2,19,1804262.5983366137,8.25224295258522,1343.2284,Train_Gpu_Memory_Mb
2,20,1729452.588523053,8.33321139216423,1315.0865,Train_Gpu_Memory_Mb
2,21,1794112.911009691,8.22521299123764,1339.445,Train_Gpu_Memory_Mb
2,22,1738452.1706389468,8.199886977672577,1318.5038,Train_Gpu_Memory_Mb
2,23,1660717.9976207272,8.140426129102707,1288.6885,Train_Gpu_Memory_Mb
2,24,1713212.28795536,8.067090064287186,1308.8975,Train_Gpu_Memory_Mb
2,25,1618895.8969956767,7.947678864002228,1272.3584,Train_Gpu_Memory_Mb
2,26,1654442.2616674844,8.031973242759705,1286.2513,Train_Gpu_Memory_Mb
2,27,1579392.059024272,7.873144745826721,1256.7386,Train_Gpu_Memory_Mb
2,28,1625681.700466599,7.930489629507065,1275.0222,Train_Gpu_Memory_Mb
2,29,1663450.1581648039,8.012285083532333,1289.7482,Train_Gpu_Memory_Mb
2,30,1622911.7276273998,7.811272144317627,1273.9355,Train_Gpu_Memory_Mb
2,31,1636266.5971186347,7.748045027256012,1279.1664,Train_Gpu_Memory_Mb
2,32,1528368.2211006943,7.761596143245697,1236.272,Train_Gpu_Memory_Mb
2,33,1611978.2985404353,7.710053026676178,1269.6371,Train_Gpu_Memory_Mb
2,34,1555324.6411763413,7.545469701290131,1247.1266,Train_Gpu_Memory_Mb
2,35,1537342.7503574868,7.608773559331894,1239.8962,Train_Gpu_Memory_Mb
2,36,1451093.8821623544,7.570835202932358,1204.6135,Train_Gpu_Memory_Mb
2,37,1524541.2918151598,7.6411910355091095,1234.7231,Train_Gpu_Memory_Mb
2,38,1555624.4915567199,7.591487467288971,1247.2468,Train_Gpu_Memory_Mb
2,39,1548439.417412273,7.531868666410446,1244.363,Train_Gpu_Memory_Mb
2,40,1552131.5748347468,7.558096945285797,1245.8457,Train_Gpu_Memory_Mb
2,41,1484959.2851147833,7.295669615268707,1218.589,Train_Gpu_Memory_Mb
2,42,1428105.6603670446,7.180391252040863,1195.0338,Train_Gpu_Memory_Mb
2,43,1503220.6059652767,7.480692118406296,1226.059,Train_Gpu_Memory_Mb
2,44,1515968.4700507731,7.3782771825790405,1231.2467,Train_Gpu_Memory_Mb
2,45,1471463.4706745606,7.45701938867569,1213.039,Train_Gpu_Memory_Mb
2,46,1450391.7879913463,7.182561606168747,1204.3221,Train_Gpu_Memory_Mb
2,47,1473024.7140098198,7.264111191034317,1213.6823,Train_Gpu_Memory_Mb
2,48,1468037.282776681,7.38256648182869,1211.626,Train_Gpu_Memory_Mb
2,49,1470586.6239856323,7.325935363769531,1212.6775,Train_Gpu_Memory_Mb
2,50,1469083.5936818733,7.317857444286346,1212.0576,Train_Gpu_Memory_Mb
2,51,1429285.2884046626,7.359280437231064,1195.5272,Train_Gpu_Memory_Mb
2,52,1496517.2351097118,7.274937629699707,1223.3223,Train_Gpu_Memory_Mb
2,53,1443535.5923622262,7.221463322639465,1201.4723,Train_Gpu_Memory_Mb
2,54,1392206.2217461215,7.058241218328476,1179.9178,Train_Gpu_Memory_Mb
2,55,1451766.4789487529,7.289862632751465,1204.8927,Train_Gpu_Memory_Mb
2,56,1340275.5697906609,7.010479271411896,1157.7028,Train_Gpu_Memory_Mb
2,57,1421984.6249244951,7.171066850423813,1192.47,Train_Gpu_Memory_Mb
2,58,1463555.8345684134,7.161863148212433,1209.7751,Train_Gpu_Memory_Mb
2,59,1364384.5858290899,7.160450518131256,1168.0687,Train_Gpu_Memory_Mb
2,60,1442168.662514123,7.1905456483364105,1200.9032,Train_Gpu_Memory_Mb
2,61,1362511.2616054802,7.053840160369873,1167.2666,Train_Gpu_Memory_Mb
2,62,1403440.0107195245,7.080896198749542,1184.6688,Train_Gpu_Memory_Mb
2,63,1341156.6205627355,6.930015981197357,1158.0831,Train_Gpu_Memory_Mb
2,64,1387783.0886864676,7.017955929040909,1178.0421,Train_Gpu_Memory_Mb
2,65,1347458.3270405193,6.929498165845871,1160.8008,Train_Gpu_Memory_Mb
2,66,1311155.2728837018,6.966397911310196,1145.0569,Train_Gpu_Memory_Mb
2,67,1322538.626379904,6.950494647026062,1150.0168,Train_Gpu_Memory_Mb
2,68,1327351.2790357685,6.963081657886505,1152.1073,Train_Gpu_Memory_Mb
2,69,1416970.0135290807,6.957454234361649,1190.3655,Train_Gpu_Memory_Mb
2,70,1308766.7077321347,6.869393587112427,1144.0134,Train_Gpu_Memory_Mb
