fold,epoch,train_loss,mape,rmse,metric
1,81,764.6136056810253,10.907185077667236,27.651648,Train_Step_Time
1,82,690.933474441018,10.783609747886658,26.285614,Train_Step_Time
1,83,681.9569706801503,10.548487305641174,26.114305,Train_Step_Time
1,84,892.9399352491646,10.646360367536545,29.8821,Train_Step_Time
1,85,656.964320549684,10.33184677362442,25.631315,Train_Step_Time
1,86,751.4886757045651,11.015169322490692,27.413294,Train_Step_Time
1,87,704.6107412740492,10.205066204071045,26.544504,Train_Step_Time
1,88,729.4006256620032,10.540762543678284,27.007418,Train_Step_Time
1,89,723.7680143884317,10.709041357040405,26.902937,Train_Step_Time
1,90,646.2647109239622,10.310938209295273,25.421738,Train_Step_Time
1,91,680.3892769429566,10.303548723459244,26.084272,Train_Step_Time
1,92,716.8688611214595,10.510166734457016,26.774406,Train_Step_Time
